Column1;Column2;Column3;Column4
date;title;location;documents
14-16.08.2026;"Всероссийские соревнования ""Кубок Амура""";г. Хабаровск;"[{""name"":""Регламент"",""url"":""./docs/kubok_amura_2026.pdf""},{""name"":""Расписание"",""url"":""./docs/Приложение_1.pdf""}]"
28-30.08.2026;"Всероссийские соревнования ""Малахитовый пояс""";г. Екатеринбург;
05-06.09.2026;"Межрегиональные соревнованя""Первые старты сезона""";г. Бийск;
11-13.09.2026;Чемпионат России;г. Симферополь;
19-20.09.2026;"Всероссийские соревнования ""Первый в Сибири""";г. Тюмень;
26.09.2026;"Городские соревнования ""Турнир Дивизионов""";г. Новокузнецк;
09-11.10.2026;"Всероссийские соревнования ""Кубок Покрышкина""";г. Новосибирск;
18.10.2026;Первенство Кемеровской области;г. Кемерово;
24-25.10.2026;"Всероссийские соревнования ""Кубок ТЭС""";г. Симферополь;
31.10-01.11.2026;"Международные соревнования ""Москва Вселенная каратэ""";г. Москва;
07.11.2026;Городские соревнования «Турнир Дивизионов» + Фиджитал каратэ;г. Новокузнецк;
13-15.11.2026;Всероссийские соревнования «Кубок Дружбы»;г. Тольятти;
21-22.11.2026;Всероссийские соревнования «Большая Волга»;г. Нижний-Новгород;
27-29.11.2026;Первенство России 12-20 лет;п.г.т. Сириус;
