name,club,category,achievements,photo_url
Матвеев Кирилл Олегович,"СК ""Hajime""",1-й дан,"Тренер высшей категории, Судья Всероссийской категории, Мастер спорта РФ по каратэ",./media/coaches/petrov.jpg
Попова Ирина Константиновна,"СК ""Hajime""",1-й дан,"Тренер 2 категории, Мастер спорта России по ВБЕ",./media/coaches/Popova.jpg
Налбандн Гагик Арутюнович,"СК ""Hajime""",1-й дан,"Тренер 1 категории, Старший тренер сборной города, Мастер спорта России по каратэ",./media/coaches/Gagik.jpg
Степанян Мушех Погосович,"СК ""Hajime""",1 Кю,Кандидат в мастера спорта,
Абдуразаков Азизбек Закирович,"СК ""Hajime""",1-й дан,Кандидат в мастера спорта,
Кузнецов Анатолий Владимирович,"СК ""Hajime""",1-й дан,Кандидат в мастера спорта,
Пономарев Владимир Александрович,"СК ""Кураж""",,,
Боярчук Алексей Александрович,"СК ""Кураж""",,,
Созин Максим Николаевич,"СКК ""Путь воина""",,,
Павлова Анастасия Дмитриевна,"СКК ""Путь воина""",,,
Арутюнян Эдгар Овикович,"СК ""Саппоро""",,,
Ланин Данил Александрович,"СК ""Русь""",,,
Велиев Гусейн Махмуд Оглы,"СК ""Саппоро""",,,
Ким Роман Иосифович,"СПК ""Шотокан""",,,
Винокуров Игорь Олегович,"СК ""Саппоро""",,,
Шкоркин Евгений Юрьевич,"СК ""Саппоро""",,,
Ожерельев Роман Александрович,"СК ""Поколение""",,,
